Title,Genre(s),Director(s),Rating
No Country for Old Men,"Crime, Drama, Thriller","Ethan Coen, Joel Coen",79
La Maison en Petits Cubes,Animation,Kunio Katou,79
Koyaanisqatsi,Documentary,Godfrey Reggio,79
My Octopus Teacher,Documentary,"James Reed, Philippa Ehrlich",79
A Whisker Away,"Animation, Drama, Romance, Fantasy","Tomotaka Shibayama, Junichi Sato",79
Blade Runner,"Science Fiction, Drama, Thriller",Ridley Scott,79
Braveheart,"Action, Drama, History, War",Mel Gibson,79
Miss Americana,"Documentary, Music",Lana Wilson,79
Just Mercy,"Drama, Crime, History",Destin Daniel Cretton,79
The Iron Giant,"Family, Animation, Science Fiction, Drama",Brad Bird,79
Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,"George Hickenlooper, Fax Bahr, Eleanor Coppola",79
Chinatown,"Crime, Drama, Mystery, Thriller",Roman Polanski,79
My Hero Academia: Two Heroes,"Animation, Action, Adventure, Fantasy",Kenji Nagasaki,79
Aliens,"Action, Thriller, Science Fiction",James Cameron,79
All My Life,"Romance, Drama",Marc Meyers,79
Raiders of the Lost Ark,"Adventure, Action",Steven Spielberg,79
Justice League: The Flashpoint Paradox,"Science Fiction, Animation, Action, Adventure",Jay Oliva,79
Inside Out,"Animation, Family, Adventure, Drama, Comedy",Pete Docter,79
Freedom Writers,"Crime, Drama",Richard LaGravenese,79
Unforgiven,Western,Clint Eastwood,79
Free Solo,"Documentary, Adventure","Jimmy Chin, Elizabeth Chai Vasarhelyi",79
Rebecca,"Mystery, Drama, Thriller, Romance",Alfred Hitchcock,79
Don't Look Now... We're Being Shot At!,"Comedy, War",Gérard Oury,79
Me Before You,"Drama, Romance",Thea Sharrock,79
Divorce Italian Style,Comedy,Pietro Germi,79
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy",Chris Columbus,79
